section,comm_a,comm_b,raw,bits,within_section_z,n_pairs_in_section,legacy_within_section_z,legacy_n_pairs_in_section,v9_status,v9_correction
7_1,DaatChacham_Vat107_Main,Ricanati_Zicaron_aharon_ed,0.2077,4.737,-0.680,45,-0.680,45,direct_pair_valid,
26_1,MeiratEinayim,UnKnownVatikan214,0.1436,1.544,-0.682,28,-0.682,28,direct_pair_valid,
12,Comment_a_shuib_Parma_68,IbnShuib,0.0893,-1.463,,66,-0.682,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
7_1,DaatChacham_Vat214_Main,KeterShemTov,0.2074,4.737,-0.683,45,-0.683,45,direct_pair_valid,
17,DaatChacham_Vat107_Main,Ricanati_Zicaron_aharon_ed,0.0774,-1.463,-0.683,55,-0.683,55,direct_pair_valid,
6,DaatChacham_Vat107_Main,Rabenu_Bahayii,0.0608,-2.187,-0.687,78,-0.687,78,direct_pair_valid,
23,IbnShuib,MeiratEinayim,0.1060,-0.102,,28,-0.688,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
25_2,IbnShuib,MeiratEinayim,0.0735,-1.463,,21,-0.693,28,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
9,MeiratEinayim,Rabenu_Bahayii,0.2758,4.737,-0.693,15,-0.693,15,direct_pair_valid,
7_1,DaatChacham_Vat214_Main,Ricanati_Zicaron_aharon_ed,0.2056,4.737,-0.697,45,-0.697,45,direct_pair_valid,
18,DaatChacham_Vat107_Main,UnKnownEskorial,0.1465,1.544,-0.697,36,-0.697,36,direct_pair_valid,
21,KenegedAsaraMaamaritLondon847,SaportaOxford1645,0.2559,6.310,,28,-0.698,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
20,Comment_a_shuib_Parma_68,DaatChacham_Vat107_Main,0.1132,0.381,-0.702,66,-0.702,66,direct_pair_valid,
6,DaatChacham_Vat107_Main,Likutim_bhml_1978,0.0595,-2.187,-0.703,78,-0.703,78,direct_pair_valid,
1,DaatChacham_Vat214_Main,KeterShemTov,0.0990,-0.102,-0.710,45,-0.710,45,direct_pair_valid,
1,KeterShemTov,UnKnownEskorial,0.0990,-0.102,-0.710,45,-0.710,45,direct_pair_valid,
20,Rabenu_Bahayii,UnKnownVatikan214,0.1125,0.381,-0.710,66,-0.710,66,direct_pair_valid,
15,KeterShemTov,UnKnownEskorial,0.1806,2.356,-0.710,36,-0.710,36,direct_pair_valid,
25,KenegedAsaraMaamaritLondon847,KeterShemTov,0.0731,-1.463,-0.712,28,-0.712,28,direct_pair_valid,
24,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.1317,1.544,-0.713,66,-0.713,66,direct_pair_valid,
19_2,Comment_a_shuib_Parma_68,MeiratEinayim,0.1636,2.356,-0.714,55,-0.714,55,direct_pair_valid,
6,DaatChacham_Vat214_Main,Likutim_bhml_1978,0.0584,-2.187,-0.717,78,-0.717,78,direct_pair_valid,
30_1,Rabenu_Bahayii,UnKnownEskorial,0.0757,-1.463,-0.718,28,-0.718,28,direct_pair_valid,
4,DaatChacham_Vat214_Main,SaportaOxford1645,0.1405,1.544,-0.719,66,-0.719,66,direct_pair_valid,
17,DaatChacham_Vat214_Main,MeiratEinayim,0.0738,-1.463,-0.724,55,-0.724,55,direct_pair_valid,
19_1,DaatChacham_Vat107_Main,KeterShemTov,0.1667,2.356,-0.728,28,-0.728,28,direct_pair_valid,
19_1,KenegedAsaraMaamaritLondon847,KeterShemTov,0.1667,2.356,-0.728,28,-0.728,28,direct_pair_valid,
11,KeterShemTovMS_L,Rabenu_Bahayii,0.1680,2.356,-0.732,45,-0.732,45,direct_pair_valid,
5,KeterShemTov,Likutim_bhml_1978,0.1434,1.544,,66,-0.732,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
30_1,KeterShemTov,UnKnownEskorial,0.0742,-1.463,-0.733,28,-0.733,28,direct_pair_valid,
25_2,KeterShemTov,MeiratEinayim,0.0702,-2.187,,21,-0.733,28,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
