section,comm_a,comm_b,raw,bits,within_section_z,n_pairs_in_section,legacy_within_section_z,legacy_n_pairs_in_section,v9_status,v9_correction
19_2,KenegedAsaraMaamaritLondon847,UnKnownVatikan214,0.2740,6.310,0.704,55,0.704,55,direct_pair_valid,
4,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.2654,6.310,0.702,66,0.702,66,direct_pair_valid,
15,Rabenu_Bahayii,UnKnownEskorial,0.2437,6.345,0.701,36,0.701,36,direct_pair_valid,
22,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.2321,3.479,,28,0.699,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
20,IbnShuib,KeterShemTov,0.2298,3.479,0.689,66,0.689,66,direct_pair_valid,
16,KeterShemTov,MeiratEinayim,0.2717,6.310,0.683,28,0.683,28,direct_pair_valid,
5,IbnShuib,SaportaOxford1645,0.2485,6.345,,66,0.681,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.1693,2.356,0.678,78,0.678,78,direct_pair_valid,
23,DaatChacham_Vat214_Marginalia,IbnShuib,0.3344,6.322,,28,0.678,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
29,KenegedAsaraMaamaritMinchen40,UnKnownVatikan214,0.2850,4.737,0.677,28,0.677,28,direct_pair_valid,
10,KeterShemTov,MeiratEinayim,0.2514,6.345,0.674,55,0.674,55,direct_pair_valid,
19_2,KeterShemTov,Ricanati_Zicaron_aharon_ed,0.2717,6.310,0.674,55,0.674,55,direct_pair_valid,
2,IbnShuib,KeterShemTov,0.2186,3.479,0.674,15,0.674,15,direct_pair_valid,
23,KenegedAsaraMaamaritLondon847,Ricanati_Zicaron_aharon_ed,0.3338,6.322,,28,0.674,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
23,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.3338,6.322,,28,0.674,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
7_1,IbnShuib,SaportaOxford1645,0.3750,6.334,0.674,45,0.674,45,direct_pair_valid,
7_1,KenegedAsaraMaamaritLondon847,KeterShemTov,0.3750,6.334,0.674,45,0.674,45,direct_pair_valid,
7_1,KeterShemTov,Rabenu_Bahayii,0.3750,6.334,0.674,45,0.674,45,direct_pair_valid,
7_2,DaatChacham_Vat214_Main,MeiratEinayim,0.3364,6.322,0.674,15,0.674,15,direct_pair_valid,
8,KenegedAsaraMaamaritLondon847,KeterShemTov,0.2429,6.345,0.674,36,0.674,36,direct_pair_valid,
8,KenegedAsaraMaamaritLondon847,KeterShemTovMS_L,0.2429,6.345,0.674,36,0.674,36,direct_pair_valid,
26,KeterShemTov,UnKnownVatikan214,0.3023,6.322,0.674,66,0.674,66,direct_pair_valid,
29,IbnShuib,MeiratEinayim,0.2847,4.737,0.672,28,0.672,28,direct_pair_valid,
25_2,IbnShuib,Ricanati_Zicaron_aharon_ed,0.1857,2.791,,21,0.672,28,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
1,DaatChacham_Vat107_Main,SaportaOxford1645,0.2778,4.737,0.671,45,0.671,45,direct_pair_valid,
19_2,IbnShuib,UnKnownEskorial,0.2707,6.310,0.662,55,0.662,55,direct_pair_valid,
20,DaatChacham_Vat107_Main,KeterShemTov,0.2269,3.479,0.654,66,0.654,66,direct_pair_valid,
21,IbnShuib,KeterShemTov,0.3687,6.334,,28,0.651,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
22,DaatChacham_Vat214_Marginalia,Rabenu_Bahayii,0.2287,3.479,,28,0.650,36,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26_1,IbnShuib,UnKnownVatikan214,0.3312,6.322,0.643,28,0.643,28,direct_pair_valid,
24,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.2155,4.737,0.642,66,0.642,66,direct_pair_valid,
19_2,Rabenu_Bahayii,UnKnownVatikan214,0.2688,6.310,0.637,55,0.637,55,direct_pair_valid,
29,KeterShemTov,MeiratEinayim,0.2821,4.737,0.636,28,0.636,28,direct_pair_valid,
1,DaatChacham_Vat214_Main,MeiratEinayim,0.2732,6.310,0.636,45,0.636,45,direct_pair_valid,
1,DaatChacham_Vat107_Main,IbnShuib,0.2729,6.310,0.634,45,0.634,45,direct_pair_valid,
25,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.1861,2.791,0.633,28,0.633,28,direct_pair_valid,
30_1,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.2134,4.737,0.632,28,0.632,28,direct_pair_valid,
16,MeiratEinayim,Rabenu_Bahayii,0.2665,6.310,0.623,28,0.623,28,direct_pair_valid,
26_1,IbnShuib,MeiratEinayim,0.3281,6.322,0.622,28,0.622,28,direct_pair_valid,
21,Ricanati_Zicaron_aharon_ed,SaportaOxford1645,0.3662,6.334,,28,0.621,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
16,IbnShuib,KeterShemTov,0.2663,6.310,0.620,28,0.620,28,direct_pair_valid,
19_1,IbnShuib,MeiratEinayim,0.2858,4.737,0.619,28,0.619,28,direct_pair_valid,
5,KeterShemTov,MeiratEinayim,0.2437,6.345,,66,0.617,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.2214,3.479,,55,0.614,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
19_2,DaatChacham_Vat214_Main,IbnShuib,0.2669,6.310,0.613,55,0.613,55,direct_pair_valid,
1,DaatChacham_Vat214_Main,SaportaOxford1645,0.2702,6.310,0.613,45,0.613,45,direct_pair_valid,
26,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.2976,4.737,0.610,66,0.610,66,direct_pair_valid,
7_1,Ricanati_Zicaron_aharon_ed,SaportaOxford1645,0.3667,6.334,0.607,45,0.607,45,direct_pair_valid,
12,DaatChacham_Vat107_Main,UnKnownEskorial,0.2381,6.345,,66,0.606,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
27,IbnShuib,Rabenu_Bahayii,0.2264,3.479,0.603,55,0.603,55,direct_pair_valid,
19_1,IbnShuib,KeterShemTov,0.2842,4.737,0.600,28,0.600,28,direct_pair_valid,
18,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.2537,6.345,0.598,36,0.598,36,direct_pair_valid,
1,IbnShuib,KeterShemTov,0.2679,6.310,0.595,45,0.595,45,direct_pair_valid,
19_1,DaatChacham_Vat107_Main,UnKnownEskorial,0.2835,4.737,0.593,28,0.593,28,direct_pair_valid,
20,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.2217,3.479,0.592,66,0.592,66,direct_pair_valid,
7_1,KeterShemTovMS_L,Rabenu_Bahayii,0.3646,6.334,0.590,45,0.590,45,direct_pair_valid,
19_2,DaatChacham_Vat214_Main,Rabenu_Bahayii,0.2646,6.310,0.583,55,0.583,55,direct_pair_valid,
25,IbnShuib,MeiratEinayim,0.1818,2.791,0.582,28,0.582,28,direct_pair_valid,
14,DaatChacham_Vat214_Main,Rabenu_Bahayii,0.2188,3.479,,55,0.581,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
11,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.3012,4.737,0.580,45,0.580,45,direct_pair_valid,
8,Likutim_bhml_1978,MeiratEinayim,0.2338,6.345,0.577,36,0.577,36,direct_pair_valid,
11,IbnShuib,MeiratEinayim,0.3009,4.737,0.577,45,0.577,45,direct_pair_valid,
30,MeiratEinayim,UnKnownEskorial,0.2865,4.737,,36,0.576,45,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
4,Ricanati_Zicaron_aharon_ed,SaportaOxford1645,0.2541,6.345,0.573,66,0.573,66,direct_pair_valid,
4,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.2540,6.345,0.572,66,0.572,66,direct_pair_valid,
19_2,IbnShuib,KeterShemTov,0.2633,6.310,0.567,55,0.567,55,direct_pair_valid,
27,DaatChacham_Vat214_Main,Rabenu_Bahayii,0.2233,3.479,0.566,55,0.566,55,direct_pair_valid,
14,DaatChacham_Vat107_Main,IbnShuib,0.2176,3.479,,55,0.566,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
14,DaatChacham_Vat214_Main,KeterShemTovMS_L,0.2174,3.479,,55,0.563,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
10,Comment_a_shuib_Parma_68,KenegedAsaraMaamaritLondon847,0.2435,6.345,0.560,55,0.560,55,direct_pair_valid,
16,Comment_a_shuib_Parma_68,MeiratEinayim,0.2609,6.310,0.558,28,0.558,28,direct_pair_valid,
30,IbnShuib,MeiratEinayim,0.2848,4.737,,36,0.557,45,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
5,DaatChacham_Vat107_Main,Ricanati_Zicaron_aharon_ed,0.2392,6.345,,66,0.556,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
4,IbnShuib,MeiratEinayim,0.2524,6.345,0.554,66,0.554,66,direct_pair_valid,
1,DaatChacham_Vat214_Main,KeterShemTovMS_L,0.2622,6.310,0.551,45,0.551,45,direct_pair_valid,
14,IbnShuib,SaportaOxford1645,0.2164,3.479,,55,0.551,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
25,KenegedAsaraMaamaritLondon847,SaportaOxford1645,0.1786,2.356,0.544,28,0.544,28,direct_pair_valid,
23,IbnShuib,UnKnownEskorial,0.3119,6.322,,28,0.544,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
7_1,KeterShemTovMS_L,UnKnownEskorial,0.3588,6.334,0.543,45,0.543,45,direct_pair_valid,
18,IbnShuib,MeiratEinayim,0.2490,6.345,0.542,36,0.542,36,direct_pair_valid,
26_1,DaatChacham_Vat214_Main,MeiratEinayim,0.3167,6.322,0.541,28,0.541,28,direct_pair_valid,
4,DaatChacham_Vat214_Main,KeterShemTovMS_L,0.2510,6.345,0.538,66,0.538,66,direct_pair_valid,
11,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.2969,4.737,0.538,45,0.538,45,direct_pair_valid,
12,DaatChacham_Vat214_Marginalia,IbnShuib,0.2300,3.479,,66,0.536,78,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
30,DaatChacham_Vat214_Marginalia,Rabenu_Bahayii,0.2827,4.737,,36,0.533,45,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
1,Likutim_bhml_1978,UnKnownEskorial,0.2591,6.310,0.527,45,0.527,45,direct_pair_valid,
4,DaatChacham_Vat214_Main,Ricanati_Zicaron_aharon_ed,0.2500,6.345,0.527,66,0.527,66,direct_pair_valid,
22,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.2198,3.479,,28,0.523,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
17,DaatChacham_Vat107_Main,Rabenu_Bahayii,0.1852,2.791,0.520,55,0.520,55,direct_pair_valid,
16,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.2574,6.310,0.518,28,0.518,28,direct_pair_valid,
14,Rabenu_Bahayii,UnKnownEskorial,0.2137,4.737,,55,0.517,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
4,IbnShuib,Rabenu_Bahayii,0.2491,6.345,0.516,66,0.516,66,direct_pair_valid,
24,IbnShuib,KeterShemTov,0.2076,4.737,0.514,66,0.514,66,direct_pair_valid,
26,DaatChacham_Vat214_Main,SaportaOxford1645,0.2898,4.737,0.504,66,0.504,66,direct_pair_valid,
26_1,IbnShuib,UnKnownEskorial,0.3113,6.322,0.503,28,0.503,28,direct_pair_valid,
4,IbnShuib,KeterShemTovMS_L,0.2479,6.345,0.503,66,0.503,66,direct_pair_valid,
19_2,IbnShuib,KenegedAsaraMaamaritLondon847,0.2582,6.310,0.501,55,0.501,55,direct_pair_valid,
25_2,MeiratEinayim,UnKnownEskorial,0.1716,2.356,,21,0.501,28,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
15,Ricanati_Zicaron_aharon_ed,SaportaOxford1645,0.2345,6.345,0.496,36,0.496,36,direct_pair_valid,
10,KenegedAsaraMaamaritLondon847,KeterShemTovMS_L,0.2390,6.345,0.495,55,0.495,55,direct_pair_valid,
16,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.2554,6.345,0.495,28,0.495,28,direct_pair_valid,
19_2,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.2577,6.310,0.495,55,0.495,55,direct_pair_valid,
27,IbnShuib,UnKnownEskorial,0.2172,3.479,0.493,55,0.493,55,direct_pair_valid,
8,DaatChacham_Vat214_Main,Rabenu_Bahayii,0.2258,3.479,0.491,36,0.491,36,direct_pair_valid,
13,IbnShuib,Ricanati_Zicaron_aharon_ed,0.3222,6.322,0.489,45,0.489,45,direct_pair_valid,
10,IbnShuib,MeiratEinayim,0.2384,6.345,0.487,55,0.487,55,direct_pair_valid,
27,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.2159,3.479,0.477,55,0.477,55,direct_pair_valid,
12,DaatChacham_Vat214_Marginalia,Likutim_bhml_1978,0.2229,3.479,,66,0.474,78,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
27,DaatChacham_Vat107_Main,Ricanati_Zicaron_aharon_ed,0.2155,4.737,0.472,55,0.472,55,direct_pair_valid,
1,DaatChacham_Vat107_Main,MeiratEinayim,0.2518,6.345,0.471,45,0.471,45,direct_pair_valid,
4,IbnShuib,Ricanati_Zicaron_aharon_ed,0.2444,6.345,0.463,66,0.463,66,direct_pair_valid,
6,KeterShemTov,SaportaOxford1645,0.1514,3.989,0.453,78,0.453,78,direct_pair_valid,
20,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.2099,4.737,0.451,66,0.451,66,direct_pair_valid,
18,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.2411,6.345,0.446,36,0.446,36,direct_pair_valid,
26,DaatChacham_Vat107_Main,SaportaOxford1645,0.2855,4.737,0.446,66,0.446,66,direct_pair_valid,
5,DaatChacham_Vat214_Main,IbnShuib,0.2309,3.479,,66,0.445,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,Rabenu_Bahayii,UnKnownVatikan214,0.2853,4.737,0.443,66,0.443,66,direct_pair_valid,
12,IbnShuib,KenegedAsaraMaamaritLondon847,0.2189,3.479,,66,0.440,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
9,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.3974,6.334,0.440,15,0.440,15,direct_pair_valid,
19_1,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.2694,6.310,0.433,28,0.433,28,direct_pair_valid,
7_2,DaatChacham_Vat214_Main,IbnShuib,0.3188,6.322,0.433,15,0.433,15,direct_pair_valid,
24,DaatChacham_Vat107_Main,UnKnownEskorial,0.2024,4.737,0.430,66,0.430,66,direct_pair_valid,
10,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.2344,6.345,0.429,55,0.429,55,direct_pair_valid,
4,MeiratEinayim,Rabenu_Bahayii,0.2413,6.345,0.428,66,0.428,66,direct_pair_valid,
5,IbnShuib,KeterShemTov,0.2296,3.479,,66,0.427,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
10,DaatChacham_Vat214_Main,Rabenu_Bahayii,0.2342,6.345,0.426,55,0.426,55,direct_pair_valid,
24,Comment_a_shuib_Parma_68,Ricanati_Zicaron_aharon_ed,0.2021,4.737,0.425,66,0.425,66,direct_pair_valid,
9,IbnShuib,KeterShemTov,0.3958,6.334,0.425,15,0.425,15,direct_pair_valid,
25_2,DaatChacham_Vat214_Marginalia,KenegedAsaraMaamaritLondon847,0.1653,2.356,,21,0.424,28,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,KeterShemTovMS_L,UnKnownEskorial,0.1490,3.989,0.423,78,0.423,78,direct_pair_valid,
24,DaatChacham_Vat107_Main,Rabenu_Bahayii,0.2018,4.737,0.421,66,0.421,66,direct_pair_valid,
19_2,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.2515,6.345,0.415,55,0.415,55,direct_pair_valid,
12,Ricanati_Zicaron_aharon_ed,UnKnownEskorial,0.2156,4.737,,66,0.411,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
12,KeterShemTovMS_L,MeiratEinayim,0.2153,4.737,,66,0.409,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
20,MeiratEinayim,UnKnownEskorial,0.2063,4.737,0.409,66,0.409,66,direct_pair_valid,
6,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.1478,1.544,0.408,78,0.408,78,direct_pair_valid,
17,DaatChacham_Vat107_Main,KeterShemTov,0.1749,2.356,0.405,55,0.405,55,direct_pair_valid,
10,MeiratEinayim,Ricanati_Zicaron_aharon_ed,0.2326,6.345,0.403,55,0.403,55,direct_pair_valid,
20,IbnShuib,Ricanati_Zicaron_aharon_ed,0.2058,4.737,0.403,66,0.403,66,direct_pair_valid,
14,DaatChacham_Vat107_Main,KeterShemTovMS_L,0.2046,4.737,,55,0.402,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
27,DaatChacham_Vat214_Main,IbnShuib,0.2096,4.737,0.401,55,0.401,55,direct_pair_valid,
26,Rabenu_Bahayii,SaportaOxford1645,0.2820,4.737,0.398,66,0.398,66,direct_pair_valid,
26,DaatChacham_Vat214_Main,MeiratEinayim,0.2819,4.737,0.397,66,0.397,66,direct_pair_valid,
4,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.2382,6.345,0.392,66,0.392,66,direct_pair_valid,
30_1,MeiratEinayim,UnKnownEskorial,0.1886,2.791,0.389,28,0.389,28,direct_pair_valid,
31,IbnShuib,UnKnownEskorial,0.2174,3.479,0.387,36,0.387,36,direct_pair_valid,
21,KenegedAsaraMaamaritLondon847,MeiratEinayim,0.3466,6.334,,28,0.386,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,Rabenu_Bahayii,SaportaOxford1645,0.1460,1.544,0.385,78,0.385,78,direct_pair_valid,
32,IbnShuib,KeterShemTov,0.2333,6.345,0.381,21,0.381,21,direct_pair_valid,
24,DaatChacham_Vat107_Main,UnKnownVatikan214,0.1993,4.737,0.380,66,0.380,66,direct_pair_valid,
27,DaatChacham_Vat107_Main,IbnShuib,0.2078,4.737,0.379,55,0.379,55,direct_pair_valid,
8,IbnShuib,KenegedAsaraMaamaritLondon847,0.2152,4.737,0.378,36,0.378,36,direct_pair_valid,
14,DaatChacham_Vat107_Main,Ricanati_Zicaron_aharon_ed,0.2026,4.737,,55,0.377,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
20,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.2032,4.737,0.372,66,0.372,66,direct_pair_valid,
26,DaatChacham_Vat214_Main,KenegedAsaraMaamaritLondon847,0.2798,4.737,0.368,66,0.368,66,direct_pair_valid,
12,IbnShuib,Rabenu_Bahayii,0.2104,4.737,,66,0.366,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
25_2,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.1603,3.989,,21,0.363,28,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
6,KeterShemTov,MeiratEinayim,0.1440,1.544,0.360,78,0.360,78,direct_pair_valid,
24,MeiratEinayim,Rabenu_Bahayii,0.1975,2.791,0.351,66,0.351,66,direct_pair_valid,
22,Comment_a_shuib_Parma_68,Rabenu_Bahayii,0.2077,4.737,,28,0.350,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
20,Rabenu_Bahayii,Ricanati_Zicaron_aharon_ed,0.2011,4.737,0.346,66,0.346,66,direct_pair_valid,
4,DaatChacham_Vat107_Main,IbnShuib,0.2341,6.345,0.346,66,0.346,66,direct_pair_valid,
7_1,KeterShemTov,UnKnownEskorial,0.3343,6.322,0.345,45,0.345,45,direct_pair_valid,
2,KeterShemTovMS_L,Rabenu_Bahayii,0.2086,4.737,0.344,15,0.344,15,direct_pair_valid,
15,KeterShemTov,Rabenu_Bahayii,0.2277,3.479,0.343,36,0.343,36,direct_pair_valid,
7_1,IbnShuib,Ricanati_Zicaron_aharon_ed,0.3333,6.322,0.337,45,0.337,45,direct_pair_valid,
7_1,Rabenu_Bahayii,SaportaOxford1645,0.3333,6.322,0.337,45,0.337,45,direct_pair_valid,
27,KenegedAsaraMaamaritParis868,KeterShemTov,0.2041,4.737,0.335,55,0.335,55,direct_pair_valid,
19_2,DaatChacham_Vat214_Main,UnKnownEskorial,0.2452,6.345,0.334,55,0.334,55,direct_pair_valid,
19_2,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.2451,6.345,0.333,55,0.333,55,direct_pair_valid,
19_2,MeiratEinayim,UnKnownEskorial,0.2451,6.345,0.333,55,0.333,55,direct_pair_valid,
5,KenegedAsaraMaamaritLondon847,SaportaOxford1645,0.2222,3.479,,66,0.327,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
2,KeterShemTov,Rabenu_Bahayii,0.2081,4.737,0.327,15,0.327,15,direct_pair_valid,
17,Comment_a_shuib_Parma_68,Ricanati_Zicaron_aharon_ed,0.1679,2.356,0.327,55,0.327,55,direct_pair_valid,
1,IbnShuib,UnKnownEskorial,0.2321,3.479,0.318,45,0.318,45,direct_pair_valid,
26,Rabenu_Bahayii,UnKnownEskorial,0.2761,4.737,0.318,66,0.318,66,direct_pair_valid,
21,MeiratEinayim,SaportaOxford1645,0.3408,6.322,,28,0.317,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
30,KeterShemTov,MeiratEinayim,0.2633,6.310,,36,0.316,45,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
23,KenegedAsaraMaamaritLondon847,Rabenu_Bahayii,0.2738,6.310,,28,0.316,36,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,Ricanati_Zicaron_aharon_ed,UnKnownVatikan214,0.2758,4.737,0.314,66,0.314,66,direct_pair_valid,
14,DaatChacham_Vat107_Main,UnKnownEskorial,0.1976,2.791,,55,0.314,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
12,DaatChacham_Vat107_Main,Likutim_bhml_1978,0.2039,4.737,,66,0.310,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
26,KenegedAsaraMaamaritLondon847,UnKnownEskorial,0.2755,4.737,0.310,66,0.310,66,direct_pair_valid,
14,KeterShemTovMS_L,Ricanati_Zicaron_aharon_ed,0.1971,2.791,,55,0.307,66,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
15,IbnShuib,KeterShemTovMS_L,0.2260,3.479,0.305,36,0.305,36,direct_pair_valid,
1,DaatChacham_Vat107_Main,Likutim_bhml_1978,0.2304,3.479,0.305,45,0.305,45,direct_pair_valid,
10,Comment_a_shuib_Parma_68,Ricanati_Zicaron_aharon_ed,0.2257,3.479,0.303,55,0.303,55,direct_pair_valid,
24,DaatChacham_Vat214_Main,UnKnownVatikan214,0.1945,2.791,0.302,66,0.302,66,direct_pair_valid,
26,DaatChacham_Vat107_Main,UnKnownVatikan214,0.2749,6.310,0.302,66,0.302,66,direct_pair_valid,
